name,display_name
ballmer_institute_for_childrens_behavioral_health,Ballmer Institute for Children's Behavioral Health
college_of_arts_and_sciences,College of Arts and Sciences
college_of_design,College of Design
college_of_education,College of Education   
lundquist_college_of_business,Lundquist College of Business
schnitzer_school_of_global_studies_and_languages,Schnitzer School of Global Studies and Languages
school_of_computer_and_data_sciences,School of Computer and Data Sciences
school_of_journalism_and_communication,School of Journalism and Communication
school_of_law,School of Law
school_of_music_and_dance,School of Music and Dance
