name,display_name,department
accounting,Accounting,lundquist_college_of_business
advertising,Advertising,school_of_journalism_and_communication
anthropology,Anthropology,college_of_arts_and_sciences
architecture,Architecture,college_of_design
art,Art,college_of_design
art_and_technology,Art and Technology,college_of_design
art_history,Art History,college_of_design
asian_studies,Asian Studies,schnitzer_school_of_global_studies_and_languages
biochemistry,Biochemistry,college_of_arts_and_sciences
biology,Biology,college_of_arts_and_sciences
business_administration,Buisness Administration,lundquist_college_of_business
chemistry,Chemistry,college_of_arts_and_sciences
child_behavioral_health,Child & Behavioral Health,ballmer_institute_for_childrens_behavioral_health
chinese,Chinese,schnitzer_school_of_global_studies_and_languages
cinema_studies,Cinema Studies,college_of_arts_and_sciences
classics,Classics,college_of_arts_and_sciences
communication_disorders_and_sciences,Communication Disorders and Sciences,college_of_education
comparative_literature,Comparative Literature,college_of_arts_and_sciences
computer_science,Computer Science,school_of_computer_and_data_sciences
cybersecurity,Cybersecurity,school_of_computer_and_data_sciences
dance,Dance,school_of_music_and_dance
data_science,Data Science,school_of_computer_and_data_sciences
earth_sciences,Earth Sciences,college_of_arts_and_sciences
economics,Economics,college_of_arts_and_sciences
educational_foundations,Educational Foundations,college_of_education
english,English,college_of_arts_and_sciences
environmental_design,Environmental Design,college_of_design
envioronmental_science,Environmental Science,college_of_arts_and_sciences
environmental_studies,Environmental Studies,college_of_arts_and_sciences
ethnic_studies,Ethnic Studies,college_of_arts_and_sciences
family_and_human_services,Family and Human Services,college_of_education
folklore_and_public_culture,Folklore and Public Culture,college_of_arts_and_sciences
french_and_francophone_studies,French and Francophone Studies,schnitzer_school_of_global_studies_and_languages
general_social_sciences,General Social Sciences,college_of_arts_and_sciences
geography,Geography,college_of_arts_and_sciences
german,German,schnitzer_school_of_global_studies_and_languages
german_and_scandinavian_studies,German and Scandinavian Studies,schnitzer_school_of_global_studies_and_languages
global_studies,Global Studies,schnitzer_school_of_global_studies_and_languages
history,History,college_of_arts_and_sciences
human_physiology,Human Physiology,college_of_arts_and_sciences
humanities,Humainites,college_of_arts_and_sciences
interior_architecture,Interior Architecture,college_of_design
italian_studies,Italian Studies,schnitzer_school_of_global_studies_and_languages
japanese,Japanese,schnitzer_school_of_global_studies_and_languages
jazz_studies,Jazz Studies,school_of_music_and_dance
journalism,Journalism,school_of_journalism_and_communication
judiac_studies,Judaiac Studies,schnitzer_school_of_global_studies_and_languages
landscape_architecture,Landscape Architecture,college_of_design
latin_american_studies,Latin American Studies,schnitzer_school_of_global_studies_and_languages
linguistics,Linguistics,college_of_arts_and_sciences
marine_biology,Marine Biology,college_of_arts_and_sciences
materials_science_and_technology,Materials Science and Technology,college_of_arts_and_sciences
mathematics,Mathematics,college_of_arts_and_sciences
mathematics_and_computer_science,Mathematics and Computer Science,school_of_computer_and_data_sciences
media_studies,Media Studies,school_of_journalism_and_communication
medieval_studies,Medieval Studies,college_of_arts_and_sciences
multidisciplinary_science,Multidisciplinary Science,college_of_arts_and_sciences
music,Music,school_of_music_and_dance
music_composition,Music Composition,school_of_music_and_dance
music_education,Music Education,school_of_music_and_dance
music_performance,Music Performance,school_of_music_and_dance
native_american_and_indigenous_studies,Native American and Indigenous Studies,college_of_arts_and_sciences
neuroscience,Neuroscience,college_of_arts_and_sciences
philosophy,Philosophy,college_of_arts_and_sciences
physics,Physics,college_of_arts_and_sciences
planning_public_policy_and_management,Planning Public Policy and Management,college_of_design
political_science,Political Science,college_of_arts_and_sciences
popular_music,Popular Music,school_of_music_and_dance
product_design,Product Design,college_of_design
psychology,Psychology,college_of_arts_and_sciences
public_relations,Public Relations,school_of_journalism_and_communication
religious_studies,Religious Studies,college_of_arts_and_sciences
romance_languages,Romance Languages,schnitzer_school_of_global_studies_and_languages
russian_east_european_and_eurasian_studies,Russian East European and Eurasian Studies,schnitzer_school_of_global_studies_and_languages
Scandinavian,Scandinavian,schnitzer_school_of_global_studies_and_languages
sociology,Sociology,college_of_arts_and_sciences
spanish,Spanish,schnitzer_school_of_global_studies_and_languages
spatial_data_science_and_technology,Spatial Data Science and Technology,college_of_arts_and_sciences
theatre_arts,Theatre Arts,college_of_arts_and_sciences
womens_gender_and_sexuality_studies,Women's Gender and Sexuality Studies,college_of_arts_and_sciences

